ARRESTNUMBER,ARRESTED DATE TIMECHARGE,UMPD CASE NUMBER,AGE,RACE,SEX,DESCRIPTION
23312,01/02/22 00:10,2022-00000238,,Black,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Negligent driving veh. in careless and imprudent manner endangering property, life and person"
23313,01/02/22 05:35,2022-00000271,,Black,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property"
23315,01/04/22 15:13,2021-00088547,,Black,Female,"THEFT: $100 TO UNDER $1,500"
23316,01/09/22 02:26,2022-00001605,,White,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while impaired by alcohol while transporting a minor; (Driving, Attempting to drive) veh. while under the influence of (alcohol, alcohol per se) while transporting a minor; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se"
23320,01/16/22 00:40,2022-00002966,,White,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Negligent driving veh. in careless and imprudent manner endangering property, life and person"
23318,01/16/22 02:10,2022-00002978,,White,Male,Burglary 4th Degree; Unlawful Entry
23319,01/16/22 02:10,2022-00002978,,Black,Male,Burglary 4th Degree; Unlawful Entry
23318,01/16/22 02:10,2022-00002978,,White,Male,Burglary-4th Degree/Tools
23319,01/16/22 02:10,2022-00002978,,Black,Male,Burglary-4th Degree/Tools
23318,01/16/22 02:10,2022-00002978,,White,Male,Malicious Destruction Property/Value -$1000
23319,01/16/22 02:10,2022-00002978,,Black,Male,Malicious Destruction Property/Value -$1000
23318,01/16/22 02:10,2022-00002978,,White,Male,Obstructing and Hindering
23319,01/16/22 02:10,2022-00002978,,Black,Male,Obstructing and Hindering
23321,01/21/22 01:45,2022-00004171,,Black,Male,Urinating or Defecating in Public
23322,01/23/22 01:36,2022-00004807,,White,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol"
23349,01/26/22 09:00,2021-00073763,,Black,Male,"THEFT: $100 TO UNDER $1,500"
23323,01/30/22 02:02,2022-00006594,,White,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se"
23345,01/31/22 09:00,2022-00002595,,White,Male,Malicious Destruction Property/Value -$1000
23324,01/31/22 15:16,2022-00006999,,White,Male,"(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Driving (motor veh., trailer, semitrailer) on hwy. with metal tires in contact with road; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Person driving motor veh. on hwy. w/o tires in safe operating condition as required by Adm.; Reckless driving veh. in wanton and willfull disregard for safety of persons and property"
23325,02/04/22 23:34,2022-00007945,,White,Male,CDS: Possess Paraphernalia
